"CPMN","FNAC"
11012,19970901
11022,19790906
23050,19781201
18175,20071002
23060,19770313
41091,19890802
11022,19880223
11022,19880223
23050,19900226
11006,19240904
11006,19400908
8019,19751109
11038,19930610
23050,19810528
23050,19720707
23050,19900530
23050,19900224
11012,19820102
11004,20000906
11038,20010831
11012,20020925
21007,19850313
11029,19911024
11029,19911024
29094,19450721
4095,19591119
11020,19971207
23050,19900107
23024,19720518
11039,20031221
11021,20030921
18087,20041225
4079,19900124
14021,19880502
23086,19900716
11004,20070908
29095,19490112
41003,19621031
11020,19630908
11006,19590624
23050,19810401
23060,19540308
11032,19851121
41091,19690324
14017,19810827
14021,19710501
41091,19811019
23050,19700522
23010,19760618
23041,19311215
23058,19240916
23067,19430506
41020,19550308
11010,19460530
11020,19890105
14019,19900121
11006,19941127
11020,19860709
11006,19921226
11006,19821031
11020,19810107
11006,19850514
14021,19880502
11020,19660619
41039,19851008
41091,19810515
11027,19310409
29067,19900803
11006,19840228
11006,19900131
11020,19891130
11004,19811115
14021,19911007
14043,19931026
14043,19851225
41091,19700413
51001,19740326
18158,19340821
23044,19581018
29015,19840601
14058,19330205
41059,19670618
41059,19800708
14021,19820108
66110,19630503
18013,19300927
11034,19940619
14060,19411231
14060,19580522
14060,19690917
18102,19950430
23009,19620531
29067,19610309
8019,19680907
14038,19860402
14050,19920201
41091,19881117
14067,19540524
14021,19620518
66341,19820308
41038,20051206
41091,19961023
11012,19930418
11012,19861030
18028,19900815
18087,19920601
11012,19741114
41045,19670611
50297,19771118
41013,19741102
29067,19620308
14065,19630418
14065,19550813
14021,19900410
18087,19901224
18187,19900405
18108,19730907
18087,19900205
8077,19901122
18024,19920722
41039,19811006
41039,19800224
41039,19830630
18101,19690418
18003,19670607
18102,19670927
18011,19940322
18087,19490522
18087,19840213
18087,19421203
4013,19920825
23050,19490301
18063,19930202
18193,19850423
18087,19830710
18122,19880425
66110,19950501
23010,19651102
18087,19800316
18089,19391215
18089,19300526
23059,19960729
23025,19970428
18100,19220416
23062,19371021
23062,19600725
23062,19880603
23062,19911010
23062,19460503
13090,19361213
23062,19470828
14021,19820423
14021,19570624
14021,19620508
14021,19580820
14021,19740616
18193,19250307
14021,19530818
14021,19751224
18087,19690814
18182,19590111
23050,19180624
23050,19810915
14055,19731008
18059,19140321
21078,19600527
23050,19481023
23029,19531206
18102,19130318
18102,19711224
18087,19940112
23012,19670831
18087,19850513
18105,19741211
18902,20080620
18173,19740307
18051,19321129
23050,19280202
23062,19520616
14021,20000728
14058,20001031
23050,19910527
23062,20021022
14021,20021016
18087,19551101
18087,19230907
18087,19640206
23901,19400522
23062,20030908
41091,19440114
23079,19880713
23079,19880821
23062,20060921
8114,19810109
41091,20010717
23087,19440430
23087,19420928
66344,19361208
23020,20080731
14021,20090306
18017,19851213
14021,20090808
18087,19830226
18087,19740410
41091,19701022
41091,19800708
41091,20060119
41092,19840609
41091,19740208
28079,19661125
41091,20080331
20069,19700307
28079,19641210
41091,19870605
41091,19790515
41091,19850822
41091,19921121
41091,19801229
41091,19800914
41064,20080704
41004,19710308
41091,19850811
41091,19790611
41091,19770531
41046,19761021
41046,19710426
41064,19950316
41091,19770629
41091,19690825
41091,19680601
41045,19930807
41091,19810531
41091,19710601
41045,19830831
41091,19661201
41091,19751210
41091,19751113
41091,19741203
41097,19970128
41091,19950918
41091,19691031
41034,19780525
41034,19780526
41087,19670123
41021,19991105
41013,19740121
41091,19691111
41091,19780913
41090,19620413
41091,19780224
41091,19910714
29067,19840806
18087,19480114
29067,19951231
29049,19660509
29067,19790520
29067,20050812
29045,19650308
29067,19740104
29067,19601023
14042,19600501
29067,19810414
29067,19750916
29067,19811228
29015,19750909
29067,19970315
29067,19681109
29015,19710416
11025,19480417
29056,19590623
29067,19710201
18153,20091215
41091,19810216
21041,19891224
23050,19420308
23050,19280829
23050,19490613
23050,19580405
23050,20001026
14058,19311028
23050,19561008
23067,19480110
23024,19730912
23095,19590923
23025,19890912
23050,19780220
23050,19480412
23062,19520616
23050,19560407
23050,19290306
23056,19871026
23099,19260626
23082,19810110
23026,19221115
23050,19810528
23050,19541201
23044,19630916
23050,20041126
23050,19360216
23050,19910819
23050,19910819
23066,19740607
23009,19661014
23050,20080910
23050,19640409
23050,19280314
23050,19700318
23050,19930704
23050,19810212
23044,19721121
23026,19310707
23099,19421023
23059,19790210
23005,19960204
23005,19960204
23050,20020409
23050,20081126
23050,19791014
23062,19310521
23009,19961104
23050,19810323
23055,19940515
23055,19940515
23010,19360404
23010,19841012
23010,19810421
23092,19770611
23092,19770611
23061,19730604
23050,19490217
23050,19470622
23050,19570613
23050,19380406
23060,19880828
23060,19450325
23060,19580203
23050,19900107
23086,19950530
23050,19870831
12040,19820427
23050,20091124
18902,19581117
18140,19830829
18140,19830829
18902,20080620
18087,19761022
18003,19780530
18087,19730423
14015,19350405
18087,19790306
18135,19690308
18051,19311107
18038,19730209
18046,19700926
18046,19700926
18150,19600828
18150,19740907
18084,19611103
23092,19500613
18101,19260824
18017,19880328
18164,19980527
18017,19810105
18087,19780812
18175,19580803
18087,19610415
18029,19620811
18100,19720924
18141,19320101
18180,19570514
18087,19590725
18140,19650227
18087,19720523
18066,19300820
18165,19310605
18022,19350930
18153,19671221
18022,19601008
18087,19860817
18087,19860817
18124,19900402
18087,19700425
18127,19670201
18087,19881204
18087,19730308
29069,19760703
18905,19160510
18127,19310912
11012,19890614
11004,19880606
11006,19330429
18158,19290704
18111,19300915
30030,19890126
18173,19881028
11026,19780220
23005,19540717
14021,19521129
14021,20020306
18087,19950503
18154,19590728
18087,19720618
18087,19941212
11006,20080820
18087,19240526
18087,19940312
18087,19620513
18124,19570224
11031,19880213
14058,20001031
18087,20000205
14021,19391120
14012,20010211
41091,20110610
18076,19991203
11020,19890106
14050,19241218
11031,19821030
41029,20120602
11012,19880227
14010,19320106
14021,20110331
14013,20110503
18003,19310606
18098,19690828
18101,19330308
4013,20130614
23055,19390221
11039,20031221
14038,19650318
18134,19361114
18905,19520729
18136,19781117
18187,19711119
18087,19500410
11021,20030921
14057,19571119
14069,19890420
14055,19470308
18188,19481019
50297,19660312
18108,19290829
11027,19920207
14013,19960906
18087,19781126
18087,19510820
4069,19900308
11032,19721221
11032,19521122
14021,19900722
14021,19900722
18108,19480407
18087,19601122
18132,19480920
18132,19740424
18132,19611013
18087,19791108
18087,19791118
21050,19950718
2003,19790830
4902,19990422
11012,19760719
11020,19450613
11020,19600304
11012,20111130
14021,19430520
14021,19530524
29015,19561217
18087,19730219
18175,19311129
18087,20060617
11006,19291009
11006,19690620
11015,20060708
14021,19820225
14050,20080708
23050,19360308
18013,19250412
18021,19351202
23050,19630108
4902,20030512
11038,19790123
11038,19840808
11038,19891105
18140,19930417
18901,19510813
23082,19660210
23098,19990531
14021,19690425
11012,19720314
18087,19711226
18175,19900416
18175,19600319
18157,19660606
23056,20030308
23020,20080731
11013,19930902
18087,19750606
18087,19910622
18194,19320204
23050,20101021
11012,19970901
18087,19421203
18087,19750927
18014,19600705
51001,19621011
11031,20100705
14055,19681007
14055,19720503
4079,19670301
11012,20041027
18102,20020701
18087,19830227
23050,20050610
14060,19750706
14013,20010819
23050,19961114
23050,19520117
11012,19320514
4902,20010904
41091,19720626
11029,19790615
14013,19900119
18907,20110608
21041,19450615
21049,20000512
66341,19561218
11020,19961210
14038,19860402
23050,19501224
14021,20070522
23050,19700326
23092,19290606
23026,19480907
11032,20080710
14054,19590609
14057,20130828
23050,19681017
23060,19470529
23065,19630418
23048,19471107
23050,20021021
23050,20030520
11012,19880811
11004,19991010
11012,20030110
18087,19441210
41064,20080704
18087,19641103
41017,20040129
41038,20051206
41091,20080908
41091,20120918
11020,19690106
18087,19911114
18013,19250412
14060,20010228
14060,20010228
18158,19820428
18087,19861014
11020,19971207
11022,20100605
18087,19860105
18050,19990624
11006,19961017
18087,19820127
18087,19640420
18013,19560308
21041,19960308
11012,19600827
14058,19300221
14038,20070608
41087,20041213
14021,19871217
18173,19670805
18134,19351119
41053,20061016
41039,20071022
14029,19960212
23010,19890619
18087,19951109
18046,19780916
11014,19680816
11007,19920226
11012,19320818
18122,19740623
41069,20000618
41069,20000618
14035,19520505
18153,20021001
8019,19890217
11012,19480120
11012,19860730
11023,19651031
41013,19971218
41091,20000229
11027,19710421
11012,19480807
11012,19811001
41056,20020325
41044,20110125
11004,19710924
41060,20001021
41101,20110308
11029,19820103
11029,19790615
11020,19950924
41060,20020624
11030,20121011
29067,19750207
18087,20021202
18038,20090216
18087,19950503
23050,19920922
23050,19820207
23062,20030908
23058,20091124
29067,19751205
29067,20120929
18153,20021001
18102,20030216
23050,19310112
23050,19820408
29095,19740408
18087,19710601
29067,19720527
5019,19800816
23059,19960729
66343,19420929
41091,19720217
23025,19970428
29067,19580111
41079,19970819
41039,19851206
18171,19311002
23050,19861129
23044,19300730
29067,19960408
29015,19630531
41046,19980321
18140,20040210
23020,19370824
29067,20000415
8270,19931023
41024,19550712
18087,20121220
23050,19960710
23060,20051112
23050,20120608
29067,19890626
29067,20000604
41042,19481214
41039,19960304
41042,19931213
18140,20011030
18102,20100704
23020,19580620
28079,19530209
29012,19730815
29067,20030916
41004,19850811
41091,19870320
18175,20071002
29008,19671115
29067,19550315
41064,19950316
18076,20080131
29067,19810822
29067,19691123
29015,19570917
18134,19700610
23025,19300801
29067,20080518
23029,19650916
23087,20020508
66126,19741204
29067,19940330
29067,19670615
41082,19580821
23902,19720617
23050,20020902
23050,20080708
29067,19750125
41091,19910910
18102,20020701
23050,19960628
23099,19970415
23050,19450423
29067,19500309
23044,19460906
41087,19881023
23005,19620410
23050,19710521
23050,19980307
41082,19981207
18122,20060215
23056,19980820
23050,20030520
18165,19371206
26089,19880809
28079,19731212
29094,19800314
29095,20111027
11020,19660916
23060,19291209
23060,19190323
41091,19920407
23012,20041210
29067,19820421
41091,19961023
14038,19920708
23007,20130920
66348,19990115
23056,20001011
14021,19620224
23062,20060921
23050,19590117
41091,19870430
23051,20001205
23058,20010222
29067,19930719
41046,20081031
23051,19360522
23092,20080621
11027,19711102
23056,19950509
29067,19740420
23098,19810807
23061,19280319
41039,19940328
41047,19531124
23050,19350908
23067,19290728
29015,20110111
23024,19250525
23088,19830620
23902,19881101
23050,19910527
29094,19920518
29067,20130130
23050,19890725
23056,19880119
29094,19930603
23024,19840531
28079,19950428
29067,19680409
29094,19931025
29067,19951231
29015,19950421
29015,19910517
29015,19920407
29015,19710527
29015,19691001
39087,19931213
41091,19630315
18087,20120207
23024,19890901
41091,20010811
21055,19710804
23014,19550808
23055,19950314
23092,19821102
23060,19981123
23005,19650507
29015,19900725
29015,19991111
29015,19991111
18122,20120327
21035,20121210
23061,19381106
23055,19940514
23092,19440403
23092,19860528
23092,19461127
41039,19941108
21041,19880112
23050,19890310
23050,19270227
23040,19240509
28079,19840311
29067,19540302
41014,19940429
41016,19951019
23092,19881111
41095,19951113
23092,19691009
23099,19620908
23051,19320306
23048,19260318
23064,20000208
29015,19731114
45202,19560308
23050,19300308
23009,20050405
41091,19920209
23087,19930115
23050,19601003
4013,19930705
29067,19940607
36021,19980120
41053,19910227
41091,19771118
50297,19771118
23050,19980220
23098,19551113
23060,19570324
23050,19971003
23015,19480530
29069,20050809
21013,19920530
23060,19950322
18100,19661117
11012,19880806
29015,20090729
18057,19950901
18157,20050624
17032,19790316
11020,19770127
11006,19520212
14015,19451117
14055,19710314
14058,19690308
14058,19351130
14021,19990905
11019,19460505
17118,19910820
18063,19891213
18140,19741007
11029,19830915
23050,19621213
11020,19941205
11020,19590221
11020,19850605
41091,20010812
23050,19320829
18087,19850204
18157,19450928
18157,19450928
18150,20030318
11020,19450922
11020,19740120
11020,19920123
14015,19620219
14058,19300221
18127,19510916
18127,19510919
18087,19930213
18087,19930711
11031,19710723
11004,19830706
14049,19560305
14021,19890216
14021,19640821
18087,19860715
18145,19560801
18149,19320127
18014,19460218
18087,19551002
18076,19991203
11012,19890114
14013,19350603
14035,19280308
18003,19950303
18003,19950501
18153,19601027
18100,19470610
18100,19420413
18100,19720707
18100,19420527
18100,19481002
18087,19550113
18087,19740613
11031,19711225
11012,19840824
14021,19950613
14021,19921113
14005,19940526
18087,19620309
18022,19541109
18087,19301011
28079,19761216
18100,19761003
18100,19380427
11038,19880602
11033,19941230
11026,19990616
14021,19920123
14021,19741025
14021,19310120
18013,19340914
11031,19931013
11038,19810622
11012,19730815
11022,20060410
18087,19410417
18017,19900706
18050,19990624
11006,19921226
14013,19510313
14015,19460213
14050,19501103
14021,19760409
41050,19920413
18100,19591205
18022,19660829
18022,19370302
18022,19480222
11012,19760623
14050,19920201
18101,19530526
18153,19671220
18022,19291029
18022,19460606
11034,19940619
11034,19930705
11012,19951208
14017,19810827
14035,19520505
14058,19661013
18111,19630517
18906,19680212
18140,19860215
18012,19700906
18022,19550504
18022,19400514
14035,19290326
14058,19560922
14058,19661013
18101,19300620
18101,19380425
18134,19390907
18021,19661109
18100,19530219
14052,19450329
8307,19680801
14017,19941107
14027,19951230
14027,19951230
14060,19920402
18087,19950308
18102,19901224
18102,19920616
18087,20000801
18087,20041121
11020,19890104
11031,19820225
11012,20111130
14058,19740623
14058,19330205
14058,19400203
14038,19961129
18087,19940112
18120,19800605
18127,19800122
18127,19860306
11012,19560819
18115,19390121
18140,19230124
18087,19470202
11012,19651029
11012,19690502
18087,19830111
11004,20070819
11004,19870219
23056,19691115
18013,19540518
18089,19400408
11006,20080315
18087,19920411
18087,19740912
14069,19371002
14021,19271118
14021,20120309
14066,20120724
18116,19290930
18087,19400301
4076,19750417
11012,19900830
11006,20141009
14021,19941229
18147,19960517
18087,19780308
18087,19860111
18087,19910710
18087,19280102
18045,19480809
18132,19990223
18087,19890806
18022,19990912
3059,20000427
11012,19850912
11012,20140124
14027,19540124
18087,19321004
18087,19920601
18006,19300421
18089,19501223
18087,19840507
18158,19290704
30016,19890117
11041,19700710
14058,19650202
18087,19690627
18905,19840623
18137,19371217
23064,19310824
18173,20030106
66341,19551218
18140,19741007
18111,19610622
18175,19610224
66341,19830624
18087,20060718
18087,20060618
18087,20120810
11032,19780223
14038,19961129
14021,19990905
18079,20040521
18079,20040521
18175,19350330
18022,20040905
18087,20041009
11020,19441023
11020,19950501
11020,19970630
18087,20140918
21041,19780726
11012,19750915
4013,19840305
4013,19840305
4013,19851221
4099,19230814
4099,19330701
18089,19400408
4071,19530305
4003,19470910
11031,19480908
11031,19630501
11031,19630501
11015,19640303
11012,19751018
11015,19450105
11004,19291108
11015,19591027
11012,19830309
11012,19830309
66303,19630308
66303,19630308
11015,19980505
11015,19980505
11012,19651029
11031,19670314
18003,19300320
18140,19730415
29067,19721206
29067,19650304
18173,19560213
18173,19800816
23050,19531011
29054,19840224
29054,19840224
41065,19591117
6069,19481227
11041,19760129
29067,19820910
18089,19630126
18057,19450420
41091,19700614
41091,19850110
41091,19850110
30030,19291130
11012,19690307
11012,19690307
41091,19600509
41091,19600509
41091,19901229
18087,19340224
41091,19671105
41091,19671105
14021,19611017
14021,19611017
41091,19670624
6061,19370402
41091,19891005
41091,19870430
41091,19870430
41091,20000801
41039,20010706
41038,20010808
41091,19880815
41091,19880815
18122,19450904
66110,19931014
18087,19690308
41091,19900708
23050,19580308
23044,19550525
29067,19480807
29067,19780316
29067,19780126
29067,19660703
29067,19930719
41091,19711011
18098,19420301
18087,19700902
41091,19820304
11027,19790219
11027,19730624
23050,20000919
18107,19881219
18109,19730103
18184,19801228
18165,19591230
23050,19670618
23050,19930403
23050,19881217
23060,19580711
23060,19650519
4013,19730227
4052,19730227
4071,19440308
51001,19840623
18051,19500219
23060,19780610
23060,19641215
23060,19850802
29067,19730327
29067,19661029
29067,19430108
11012,19710522
3083,19750511
25120,19761210
18909,19690808
18087,20000205
18158,19710308
18158,19810328
18022,19310920
18022,19541030
23007,19490703
29067,20000415
4053,19830126
4013,19830525
11027,20060516
18087,19700726
23007,19211101
23087,19891219
41039,19770602
4013,19850131
66341,19561218
4013,19810108
18087,19740326
18087,19850216
28079,19730717
23005,19160403
23086,19220822
8270,19931023
4013,19851221
11006,19821105
18087,19910425
18087,19901224
18175,19300327
18087,19841019
21029,19310208
21035,19670423
23018,19830214
23007,19520419
23005,19610528
23050,19870811
23050,19510726
23005,19790322
29067,19941215
29067,19650505
29015,19760213
41091,19380301
18089,19590511
14029,19671127
18107,19870416
23002,19180824
29094,19880920
14013,19790324
14017,19941107
18165,19350213
18087,19690418
18087,19800107
23086,19970101
23050,19711212
23056,19800719
23002,19940709
41042,19770912
11020,19730603
14021,19830222
18063,20070504
23064,19680602
23092,19810223
23050,19780308
23026,19510610
23902,19230817
18087,19871109
11038,19810617
11006,19710309
14037,19850912
14038,19780109
18022,19591028
21041,19450412
18135,19600101
23050,19820901
23044,19610419
29067,19960829
14066,19801223
14021,19800317
14021,19570727
21010,19720913
29067,19300303
11007,19650417
18087,19640420
23058,19670308
23050,19740617
23050,19660423
23066,19750527
23026,19220409
23029,19570527
23088,19330530
23088,19741104
66343,19571220
4079,19730620
4086,19630228
11006,19400429
11006,19761123
14056,19770107
14021,19610127
14021,19790809
14021,19590527
14060,19440305
66341,19830610
4029,19820628
14057,19630427
14065,19550813
23056,19770913
14073,19740802
18134,19480426
18134,19590601
18108,19240503
18018,19410529
18087,19871030
18087,19610326
18087,19960824
18087,19960824
18122,19480419
18122,19480419
23067,19490101
8114,19781121
41091,19740630
11012,19660924
11039,19151009
14013,19341229
18121,19580122
4013,20011004
4006,19741019
4035,19810521
4086,19800314
41091,20001128
18006,19510624
4003,19690618
18087,19390930
41091,20010922
29015,19480310
4013,19740122
4013,19550116
18089,19811102
30030,19701120
4902,19990422
11012,19440604
11006,20070719
18175,19900416
23050,19350918
23050,19410914
23050,19570612
